time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446250000	16.5257	4.51239	5.17507	0.69837	0.347542	radar	0.598035	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7032	4.68445	5.1586	0.721034	0.353379	lidar	0.52526	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8591	4.87124	5.05777	0.760677	0.387014	radar	4.81958	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.024	5.09782	5.08778	0.800853	0.408946	lidar	0.880712	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1943	5.26653	5.05034	0.819632	0.410078	radar	1.70262	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3529	5.45189	5.03832	0.842539	0.412772	lidar	0.224169	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5093	5.62009	4.98489	0.861841	0.415386	radar	3.22375	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6995	5.7512	4.95058	0.856298	0.387877	lidar	1.48802	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.844	5.94522	4.90757	0.886457	0.404918	radar	1.21616	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0171	6.13859	4.92729	0.902086	0.399838	lidar	0.673408	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1669	6.34452	4.93704	0.926038	0.404294	radar	0.720964	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2893	6.58182	4.96066	0.964132	0.42294	lidar	0.731047	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4217	6.7935	4.95141	0.991107	0.43135	radar	0.315858	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5673	6.93623	4.88419	0.990473	0.408654	lidar	1.90659	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7155	7.14308	4.91848	1.00292	0.396142	radar	0.600323	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9087	7.28738	4.8878	0.986811	0.358809	lidar	3.90048	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9986	7.48944	4.81271	1.02355	0.386524	radar	4.08904	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0915	7.74944	4.85719	1.06607	0.410453	lidar	1.28922	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2118	7.95692	4.85799	1.08239	0.404963	radar	0.265171	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2916	8.17285	4.8377	1.11252	0.415349	lidar	1.44359	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3902	8.38393	4.84004	1.13025	0.408626	radar	2.26876	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4836	8.53499	4.74644	1.13653	0.394659	lidar	3.87084	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5749	8.74365	4.7217	1.15896	0.400288	radar	0.573132	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7336	8.92084	4.70593	1.14828	0.368845	lidar	4.14019	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8081	9.14155	4.67986	1.17926	0.387251	radar	1.00544	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9373	9.36748	4.71372	1.18657	0.374728	lidar	2.97786	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.985	9.58719	4.65837	1.22677	0.406491	radar	2.76655	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0726	9.82666	4.6904	1.24728	0.406524	lidar	0.733248	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1333	10.0744	4.73037	1.27379	0.409568	radar	7.13377	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1825	10.3454	4.78443	1.30885	0.424102	lidar	0.94335	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2012	10.5783	4.74326	1.35242	0.45599	radar	3.17279	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2599	10.8517	4.80546	1.3789	0.45926	lidar	2.01845	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2891	11.1067	4.83166	1.40867	0.464619	radar	4.91166	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3233	11.3467	4.833	1.43278	0.465491	lidar	0.00291018	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2742	11.5907	4.77261	1.50205	0.531456	radar	11.5292	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3442	11.8344	4.7918	1.5088	0.511425	lidar	4.46292	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3677	12.069	4.8123	1.51942	0.484538	radar	3.37334	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3549	12.3563	4.87949	1.55671	0.496724	lidar	1.23311	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3078	12.5927	4.83466	1.61103	0.541705	radar	3.72843	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3317	12.8344	4.83668	1.62471	0.528419	lidar	1.65351	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.319	13.0649	4.81447	1.65204	0.533146	radar	2.13262	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.284	13.28	4.7784	1.68161	0.536479	lidar	1.07638	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2451	13.5138	4.77773	1.70993	0.535873	radar	1.2804	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2236	13.7739	4.81232	1.73224	0.531015	lidar	1.239	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
